[21:35:39,381] INFO  {CodeInstrumentation} no user defined instrumentation exceptions detected
[00:00:14,381] INFO  {AppComp} <nid:14> Removing 3
[00:00:14,381] INFO  {AppComp} <nid:14> Store = [5]
[00:00:15,065] INFO  {AppComp} <nid:2> Removing 3
[00:00:15,065] INFO  {AppComp} <nid:2> Store = [4, 5]
[00:00:15,065] INFO  {AppComp} <nid:2> Removing 4
[00:00:15,065] INFO  {AppComp} <nid:2> Store = [5]
[00:00:15,246] INFO  {AppComp} <nid:4> Removing 3
[00:00:15,246] INFO  {AppComp} <nid:4> Store = [4, 5]
[00:00:15,246] INFO  {AppComp} <nid:4> Removing 4
[00:00:15,246] INFO  {AppComp} <nid:4> Store = [5]
[00:00:15,292] INFO  {AppComp} <nid:11> Removing 4
[00:00:15,292] INFO  {AppComp} <nid:11> Store = [5]
[00:00:15,346] INFO  {AppComp} <nid:13> Removing 5
[00:00:15,346] INFO  {AppComp} <nid:13> Store = []
[00:00:15,443] INFO  {AppComp} <nid:15> Removing 1
[00:00:15,443] INFO  {AppComp} <nid:15> Store = []
[00:00:15,443] INFO  {AppComp} <nid:15> Removing 2
[00:00:15,443] INFO  {AppComp} <nid:15> Store = []
[00:00:15,443] INFO  {AppComp} <nid:15> Removing 3
[00:00:15,443] INFO  {AppComp} <nid:15> Store = []
[00:00:15,443] INFO  {AppComp} <nid:15> Removing 4
[00:00:15,443] INFO  {AppComp} <nid:15> Store = []
[00:00:16,000] INFO  {AppComp} <nid:1> Removing 5
[00:00:16,000] INFO  {AppComp} <nid:1> Store = []
[00:00:16,160] INFO  {AppComp} <nid:3> Removing 5
[00:00:16,160] INFO  {AppComp} <nid:3> Store = []
[00:00:16,292] INFO  {AppComp} <nid:5> Removing 5
[00:00:16,292] INFO  {AppComp} <nid:5> Store = []
[00:00:16,326] INFO  {AppComp} <nid:12> Removing 5
[00:00:16,326] INFO  {AppComp} <nid:12> Store = []
[00:00:16,381] INFO  {AppComp} <nid:14> Removing 5
[00:00:16,381] INFO  {AppComp} <nid:14> Store = []
[00:00:17,065] INFO  {AppComp} <nid:2> Removing 5
[00:00:17,065] INFO  {AppComp} <nid:2> Store = []
[00:00:17,246] INFO  {AppComp} <nid:4> Removing 5
[00:00:17,246] INFO  {AppComp} <nid:4> Store = []
[00:00:17,292] INFO  {AppComp} <nid:11> Removing 5
[00:00:17,292] INFO  {AppComp} <nid:11> Store = []
[00:00:02,000] INFO  {HostMngrComp} <nid:1>initiating...
[00:00:02,000] INFO  {HostMngrComp} <nid:1>starting...
[00:00:03,065] INFO  {HostMngrComp} <nid:2>initiating...
[00:00:03,065] INFO  {HostMngrComp} <nid:2>starting...
[00:00:04,000] WARN  {CroupierComp} <nid:1,oid:CROUPIER,o:01,bId:0> no partners - not shuffling
[00:00:04,160] INFO  {HostMngrComp} <nid:3>initiating...
[00:00:04,160] INFO  {HostMngrComp} <nid:3>starting...
[00:00:05,065] WARN  {CroupierComp} <nid:2,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:05,246] INFO  {HostMngrComp} <nid:4>initiating...
[00:00:05,246] INFO  {HostMngrComp} <nid:4>starting...
[00:00:06,000] INFO  {GBEBComp} <nid:1> Updating Add History with <nid:2>
[00:00:06,000] INFO  {AppComp} <nid:1> Store = [1, 2]
[00:00:06,160] WARN  {CroupierComp} <nid:3,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:06,292] INFO  {HostMngrComp} <nid:5>initiating...
[00:00:06,292] INFO  {HostMngrComp} <nid:5>starting...
[00:00:07,065] INFO  {GBEBComp} <nid:2> Updating Add History with <nid:1>
[00:00:07,065] INFO  {GBEBComp} <nid:2> Updating Add History with <nid:3>
[00:00:07,065] INFO  {AppComp} <nid:2> Store = [2, 1]
[00:00:07,065] INFO  {AppComp} <nid:2> Store = [2, 1, 3]
[00:00:07,246] WARN  {CroupierComp} <nid:4,oid:CROUPIER,o:01,bId:0> no neighbours
[00:00:07,292] INFO  {HostMngrComp} <nid:11>initiating...
[00:00:07,292] INFO  {HostMngrComp} <nid:11>starting...
